"M00000300","M00000302","M00000304","M00000305","M00000298","M00000297","M00000299","M00000301","M00000303","M00000306","M00000307","M00000308","M00000019","M00000020","M00000021","M00000022","M00000002","M00000001","M00000003","M00000004","M00000007","M00000005","M00000006","M00000008","Gene"
226.886,139.858,230.796,446.708,131.925,154.836,85,174.368,88.2873,131.339,244.91,243.405,115.985,150.885,212.181,247.282,137.263,64.8692,127.168,138.134,164.816,125.512,130.141,194.517,"A1BG"
36.7101,24.9412,34.0449,29.0415,13.3803,38.1979,14.272,36.4026,34.5644,19.842,29.3051,69.4387,75.0731,145.429,170.087,161.335,102.962,96.3284,189.393,181.053,199.428,216.277,125.838,257.704,"A1BG-AS1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11018241067,0,0,20.057607783129,0,0,38.216529381645,"A1CF"
0,0,0,0,0,0,0,0,0,0,0,0,0,46.4702,17.3541,7.62897e-06,0,15.391,0,0,62.2151,0,18.1262,101.023,"A2M"
12.3812,5.39732,0,29.5339,9,0.346663,1,6.33421e-05,25.7224,0,4,37.838,0,0,8.19482,16.3425,7.57959e-05,0.277497,0,0,0,38.2039,23.5371,7.82791,"A2M-AS1"
0,5.61972,3.01189,5.00691,6.27815,0,1.00523,6.52477,24.30948,5.01316,8.04398,16.07817,0,3.01,5.04479,0,0,0,0,11.6016,0,0,41.7795,15.6134,"A2ML1"
0,0,2,0,0,0,2,1,0,1,0,2,0,1,3,1,11.0047,0,0,0,0,0,0,0,"A3GALT2"
14,113,27.8547,79.272,21.9999,2.99999,48.3152,46.3011,748.825,39.0393,83.0647,110.116,2,19.0458,5.99998,4,5.99998,0,2.99999,10.035,0.999999,3.99999,0.999996,11,"A4GALT"
1,1,0,0,9,0,2,1,0,5.03587,0,3,0,1,0,0,0,1,2,0,1,0,0,1,"A4GNT"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AA06"
