"M00000300","M00000302","M00000304","M00000305","M00000298","M00000297","M00000299","M00000301","M00000303","M00000306","M00000307","M00000308","M00000019","M00000020","M00000021","M00000022","M00000002","M00000001","M00000003","M00000004","M00000007","M00000005","M00000006","M00000008","Gene"
588.96477,724.07877,707.634,1252.9694,318.971,245.172,132,515.39142,1122.9682,597.465,730.9998,1044.5886,506.9995,767.9062,898.088,974.4595,777.4704,652.817,1003.0707,882.386,919.4457,1031.0008,923.519,1298.9606,"AAAS"
741.665,336.482,203.287,243.048,85.3127,157.901,104.584,264.232,289.393,343.867,292.006,249.759,295.668,352.439,406.136,504.106,258.22,196.152,308.627,332,345.473,382,293.728,550.555,"AACS"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270132,0,0,1.00138,0,0,0,1.00022,0,0,"AADAC"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AADACL2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AADACL3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AADACL4"
48.00831,52.4025,49.5329,101.90233,9.64067856,38.6635,4.02647042,56.1359,79.06809,48.2602,32.0303,145.427,0,0,0,0,0,0,5.2687474,0,0,0,0,5.28894022,"AADAT"
544,291.973,318,840.578,283,337.08,146,283.213,283,384,543,249.936,168,295,194.893,268.014,216,129.114,180.001,119,280.207,177.84,238.945,397.638,"AAED1"
888.0248,833.78992318,859.7675,1546.5754308,1158.757,409.559,469.39139499,781.9295,1173.26140049721,927.99005,1265.4450401219,1093.837,732.0560342559,1303.38200013392,1087.25400002584,1264.4200629777,1352.4568431,921.982410439,1089.0801,859.3591,1557.84817,997.8467,1268.7709,2067.6800199841,"AAGAB"
1351.93,1522.25,1710.52,1668.89,2380.68,837.259,2407.3,1579.87,891.241,1754.81,2289.79,667.616,2436.87,5864.94,7820.23,6389.66,4566.9,3266.94,4719.87,6068.26,8318.09,5350.36,5202.73,13242.3,"AAK1"
60.9073,40.8672,33.448,76.4114,34.8472,22.0213,5.07803,38.3596,43.3439,27.888,29.0664,90.83,20.3811,34.3045,24.6754,62.3914,50.9533,5.99368,37.6777,0,2.95172,10.9996,14.4726,15.5059,"AAMDC"
951.9998,1889.997,1423.0001,1877.856,1044.054,502.9998,364.9995,1267.002,1708.004,968.3153,1939.003,1999.683,1526.947,2225.889,2157.003,2778.747,2470.995,1553.048,2169.018,1699.167,2330.71,2142.952,1976.341,2820.55,"AAMP"
5.00267,0,11.00134,20.5712,4.716,13.29559,3.00005,9.61265,9.01933,1.46841,4.91388,6.16478,0,6.68158,10.2869,9.40862,22.9333,14.4876,3.43637,21.9385,26.9282,30.4116,45.086,23.1891,"AANAT"
527.0002,590.9998,654.9996,913.175,262.0003,274.0002,308.0004,568.0083,574.2624,456.3003,852.4414,573,698.9996,1262.3309,911.0339,1205.729,926.9637,563.322,886.0003,720.292,962.1799,747.4014,835.9994,1310.001,"AAR2"
22.0307,0,0,14.3635,0,3.33024,5.33629,1.03246,8.60636,3.31654,5.82463,0,2.24015,2.13809,7.43768,5.31208,9.56465,41.0581,0,49.9535,5.08619,20.884,0,61.8407,"AARD"
1909,1555.64,1092,2121,1756,295,405.839,1049,2605,1440,1536.06,1693.58,1060.46,1696.21,1746.17,1985.33,1311.18,917.321,1634.79,1350,1622.15,1684.14,1444.76,2858.68,"AARS"
279.774,338.682,372.663,423.525,170.254,116.636,103.73,295.418,453.084,298.519,260.431,628.945,313.088,655.062,729.085,819.091,718.11,511.235,882.301,870.161,982.111,959.714,762.91,1458.85,"AARS2"
362.125,533.335,726.036,992.355,191.507,141.684,121.37,298.734,599.427,365.643,520.861,683.201,267,374.5,445.22,449.012,419.715,264.503,459.43,456.928,534.582,515.674,437.043,827.02,"AARSD1"
115.90822,102.7261,96.271011147,310.2056,162.59928389,44.57121,91.9882,81.818957179,234.6660850313,123.6969,194.132721025,193.420300109872,165.41433867,459.994,366.0754,564.4576,200.1778,157.4748092529,252.6051,246.9619141413,481.56817,228.958,179.42362,473.540391144,"AASDH"
465.982,507,572.19,880.953,542.948,273.913,298.238,324,821.115,506.944,620,921.093,986,1585.26,1195.92,1585.99,1327.36,840,1034.42,850.933,1364.55,989,1363.76,2137.14,"AASDHPPT"
224.338,379.041,188.768,210.36,191.825,135.623,66.484,250.566,360.329,364.242,98.4569,448.533,69.1517,213.37,263.82,231.834,148.399,200.568,326.04,282.739,505.925,252.76,226.669,793.259,"AASS"
125.716,338.765,132.071,411.859,96.3667,238.483,16.1545,408.958,38.0536,111.1,200.203,305.842,384.664,653.26,747.989,788.573,749.419,763.22,1269.54,819.167,1130.38,884.379,1319.39,738.306,"AATBC"
2246.39,1924.77,2006.11,2852.93,2239.59,747.849,766.874,1336.17,1856.66,1163.96,2054.57,2223.28,1209.87,2160.15,1848.59,2365.59,2968.68,1679.69,1658.43,1342.31,1938.61,1558.43,1638.26,2707.15,"AATF"
924.501,452.423,374.513,318.611,1982.797,67.0000000528055,860.048,635.458,256.059,342.888,836.643,879.286,253.06,336.009,238.466,966.908,4871.23,4612.84,574.343,460.5131,359.97400357595,309.242,629.9663,115.12,"AATK"
122.974,97.4403,51.5286,88.9248,66.1102,35.2896,279.632,120.818,165.245,153.346,121.596,103.404,30.2316,95.3175,65.2991,42.9739,41.7187,49.8958,52.7829,31.2642,64.0406,50.3319,61.0639,59.8435,"ABALON"
211.022,282.0577,180.0253,248.0154,149.004000035525,74.00914,84.03125,380.0267,174,161.7209,265.334500029185,325.117100031203,502.0005,888.34,828.9758,1220.7372,2044.4476,1001.4765,779.2978,509.639,854.7669,561.45,847.283,1096.137,"ABAT"
203.145,260.614,825.457,579.411,1535.17,362.207,1244.91,381.314,416.279,573.294,657.102,303.804,609.238,958.227,895.515,1103.31,4853.13,2436,650.342,734.49,1305.4,445.22,767.629,1221.33,"ABCA1"
7.00016,16.0006,10.003,7.00101,3.00003,4.00018,3.00103,7.00012,6.00004,8.00026,7.00004,11.0223,9.00009,16.0001,21,30.0002,25.0304,25.1008,30.057,36.1178,87.0483,39.1929,25.0425,74.3782,"ABCA10"
0,0,2,0,0,0,0,0,1,0.999967,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"ABCA12"
8845.83,2616.47,1870.36,86.7694,9999.71,23.0794,4624.33,893.342,75.5624,1208.99,174.365,331.472,51.127,39.2716,29.3495,34.1042,105.293,221.042,83.2471,91.1034,164.754,79.5995,175.658,222.393,"ABCA13"
633.025,1781.1,748.695,278.87,823.932,261.236,741.775,740.484,778.879,772.354,601.996,2267.17,696.854,1397.59,2674.05,1553.43,3587.4,3004.02,2752.93,3325.27,3088.17,4007.54,3732.73,4237.27,"ABCA2"
746,488.207,220,1198.22,84,142,30,539.004,384.988,747.446,324,205,175.008,484.261,381,381.002,282.034,215.007,291.406,351,354.101,461.355,302.072,616.131,"ABCA3"
0,1,0,0,1,0,3,1,4,3,0,0,0,0,0,0,2,3,0,0,1,1,0,0,"ABCA4"
429.048,603.583,433.143,274.18,385.558,160.1662,201.749,270.1318,308.8578,478.3944,204.061,389.61,257.073,355.904,870.556,552.3221,740.941,762.899,691.9205,1037.6355,1715.424,850.8852,872.0437,2007.9894,"ABCA5"
6,6,19,4,5,14,6,40,8,11,11,2,23,18,29,27,23,16,24,15,32.3094,18,27.0002,34,"ABCA6"
6136.22,5144,3019,3084.14,5498.05,1727.53,2321,3805.49,3686.1,2976.29,2073.98,3840.09,2103.31,2383,5636.21,5794.28,14018.3,10423.2,7672.45,7395.22,5854.42,7456.34,7084.23,7179.83,"ABCA7"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ABCA8"
3.00494,2,10.0097,2.05887,0,7.21473,2.03179,13.2116,0,16.1492,11.1857,8.07007,4.00676,11.1933,15.3397,17.3249,46.8325,56.5355,46.9674,54.8136,138.135,39.7663,39.4645,133.88,"ABCA9"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ABCA9-AS1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7947,0,0,0,0,0,12.7078,0,12.7002,"ABCB1"
1682,2070.09,1332,1751.33,785,467,1242,1776.61,11229,2554.44,2074.01,1745.33,863,1191.7,1087.26,1202.71,1013.01,671.046,881.203,776,1204,861,1093.75,1718.53,"ABCB10"
7,7,34,29,1,0,0,0,2,3,2,10,0,0,3,1,3,13,1,0,0,0,1,0,"ABCB11"
4,24.9999929,8.03513,48.1031,10,25.2567353,9,19,26.00004,14.049,9.02999,3.00772,95.1864,72.1178493,151.3034,213.4766,107.1883,68.4505,113.1322097134,99.4499,243.166,96.1660171799,87.36967717,445.4307,"ABCB4"
10.6821,19.56047,3.01354,7.32458,0,0,19.3405,18.7923,24.67674,13.4552,10.5339,3.26974,2.49823,0,1.01168,5.1212,38.0623,75.4812,44.9437,69.5201,181.2106,25.9083,15.3081,145.0208,"ABCB5"
1280.17,1091.32,319.859,743.954,272,295.947,155.74,1047.69,1275.03,1020.05,694.708,796.14,30.4337,120,186,134.479,116.98,131.929,222.025,200.5,82.5631,211.462,151.953,268.591,"ABCB6"
663.031,780.0178,703.293,1189.1334,689.48,343.645,320.169,570.027,911.846,561.779,570.99998,946.1425,530.257,911.0051,855.1847,1055.4843,815.0075,486.694,723.0062,632.527,1139.2565,696.0272,808.859,1644.376,"ABCB7"
314.99987,540.2812,405,682.2617,151,172,87.0000000681779,418.0003,583.3186,379.04639,408.0688,544.90086,414,684.3461,964.1078,928.2371,629.6954,522.68888,968.4812,975.7223,814.8025,1082.6179,773.38487,1208.8672,"ABCB8"
55.014745,78.0007,61.0205330736,224.0627,9.0000000126678,13.99995483053,19.00022,52.0078100179666,122.03388,87.0239,47.06975,107.0000432696,25.99996,38.002800811251,71.005440474776,76.00111,32.0085,32.07091657,68.09173551659,56.0084,47.00001949,63.00071,34,77.00102,"ABCB9"
2966.53,3168.91,3049.19,3314.06,2824.33,1145,2084.13,2829.2,2603.74,2348.34,3404.72,4169.74,2046,4156.93,4180.34,3957.34,3858.36,1891.49,3058.33,3080.71,3564.42,3203.97,2892.72,5671.08,"ABCC1"
356.0836,345.1205,216.1254,324.5325,147.6494,176.2264,100.2072,394.4447,282.0739,316.8866,333.8255,510.82,533.218,984.833,1260.033,1246.451,705.871,763.805,1208.084,1140.838,1153.635,1281.045,1092.011,1685.963,"ABCC10"
2,1,1,6,0,1,1,0,2,2,2,2,0,2,6,2,5,4,0,3,3,0,3,3,"ABCC11"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ABCC12"
25,49,75,42,67,31,56,34,44,45,34,36,47,47.0135,131,89,178,214.219,111.039,107.26,139.035,96,107.082,244.547,"ABCC2"
1937.5357,1062.1219,1231.0506,1079.8205,670.6493,900.1117,437.35381,3284.443,1195.8691,1857.8076,1398.9687,645.2087,468.2118,1084.7728,626.251,882.226,498.00782,691.7923,1049.0072,529.07,1143.4068,511.6214,850.706,613.9849,"ABCC3"
3211.132,2707.0737,1481.005562922,1936.5646,627.4191,1137.183,488.9175,2755.095,3470.742,3489.446,1802.6259,3045.394,382.0338,1056.5901,525.49965,660.8868,507,269.3125042,317.2009,384.3967,608.0258182,324.1042,378.0508765,1141.10356,"ABCC4"
702.739,741.831,304.042,893.393,250.4527,174.746,194.9597,680.571,1705.607,673.476,545.137,1378.065,609.472,796.1353,1198.256,1142.316,2578.91,1788.923,1429.6351,1065.72121,1651.641,1393.587,1403.984,2043.195,"ABCC5"
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"ABCC5-AS1"
215.5691,89.1042,63.2401,46.10517,200.3617,11.100565,36.25728,141.3971,47.2215,96.3808,52.1721,353.294,30.57894,78.209,150.6482,115.9272,83.387905164,259.395,218.5417,17.96002,26.6793904,148.26757,160.5043,132.8272,"ABCC6"
0,0,0,0,0,0,0.02378699,0,0,0,0.0356112,0.01742578,0,0,0,0,0,0,0,0,0,0,0,0,"ABCC8"
558.011,704.69,665.788,833.706,541.768,329.446,572.399,672.537,615.16,822.758,603.262,615.004,177.607,564.012,752.093,520.045,606.242,710.522,554.384,687.764,1389.97,506.89,542.901,1943.25,"ABCC9"
746.293,774.756,476.991,961.034,674.34,405.071,337.225,835.483,264.303,331.519,697.107,534.35,825.221,1136.24,1020.82,1436.76,1262.86,774.21,957.151,837.394,827.281,844.51,1049.94,799.488,"ABCD1"
17,78,65,18,9,49,13,83,26,33,57,10,567,785.109,892,775,745.239,324,570,695,1169.16,635.016,649.003,1807.1,"ABCD2"
400.1681,545.2058,426.0026,461.7725,495.5773,141.9496,421.165,439.14,480.3527,368.0422,498.535,590.9994,760.874,1213.0092,1055.5501,1253.8367,1055.583,722.877,1007.92,948.887,1490.565,932.943,1027.6186,1995.062,"ABCD3"
56.3993,1.89124e-05,0.887991,0.204641,16.0796,11.1052,0,6.90127e-06,0.00053288,0.000186893,0,84.0844,21.5457,130.347,80.0214,20.0094,0.0108537,0.00246405,22.3717,7.69707e-05,0.992547,0.000614657,0.892559,94.8335,"ABCD4"
1215.5,1875.6,2212.78,2668.35,737.559,769.953,547.735,1140.94,2415.73,1430.84,1796.15,2593.11,1622.02,2119.36,2017.5,2071.53,1783.96,1058.79,1509.43,1418.57,2122.71,1306.92,1908.14,3264.46,"ABCE1"
1359.6317,1145.100898186,1389.19,2038.6338,1373.1,670.8895,1019.6727,1010.1107,1757.26,1442.0108,1498.05,1910.47,1467,3277.4323,2810.98,3148.7,2534.0631,1594.58,2405.9495,2077.7525,2786.6,2548.33,2193.89,3720.88,"ABCF1"
801.003,999.199,680.743,1423.314,387.001,311.824,165.3789,622.992,1316.751,608.685,889.419,1401.997,1175.941,1763.075,1908.428,1909,1681.954,1026.289,1509.559,1496.819,1886.09,1598.148,1699.494,2784.83,"ABCF2"
699.534,554.013,623.098,755.022,649.351,177.275,470.713,380.899,553.67,481.844,540.244,853.948,812.9,1511.63,1390,1559.07,1526.36,783.251,1143.9,935.949,972.393,742.68,1119.81,1829.51,"ABCF3"
80.1061,172.7123,288.37328681,182.23073,126.2325,158.7338,241.6945,108.57842,121.2697,174.2884,248.228,209.7187,494.698,409.5447,583.2029,772.4626,2236.0239,1292.3603,802.1053,861.1633,807.97,548.2685000799,720.668,854.42800004632,"ABCG1"
0,12.1553,5.5418690599,0,16.344,0,12.9433,56.9219,0.0356625,33.6223,7.05041,38.3579,0,0,17.4474,12.7122,0,0,2.11584e-05,1.85349,0,0.0218547,0,0,"ABCG2"
3.00475,3.00009,0,0,0,2,0,4.00163,1,2.00242,6.00422,1.00183,2.00841,0,0,0,2.00046,1.00002,0,0,0,0,0,0,"ABCG4"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"ABCG5"
0,0,0,0,0,0,0,0.173112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ABCG8"
14.004,13.007,19.0543,29.0527,4.31608,1,1.0005,17.0588,6.00049,17.0193,10.0001,14.0065,5,17.0642,10.4452,15.0212,17.0179,8.11014,20.0455,27.1842,17.105,31.0877,19.6495,32.0524,"ABHD1"
284.3385,424.2636,596.7219,775.8173,176.548,123.262,232.451,224.901,607.5218,387.46979,412.32759,565.8806,631.1123,636.8559,660.226,895.6104,867.3028,540.8079,739.8418,655.4413,984.3886,723.7439,799.2175,1404.5834,"ABHD10"
207.311,223.4992,185.38851,502.944799,108.65992,55.5812,72.66218,211.57,214.89528,221.1539,317.1942,215.9445,116.28871,184.71407,159.361,217.43819,311.42534,404.8532232906,284.6995,320.214152,363.95320005966,311.42297,266.7576,523.883747,"ABHD11"
926.713,776.003,735.0511,1631.0109,677.2512,530.0061,334.031,763.1012,728.662,821.2919,1158.19289,520.4391,433.1666,854.1132,687.1717,942.0159,589.9404,384.0522,616.8534,472.0656,655.5108,594.008,560.7124,1010.228,"ABHD12"
40,11,28.00004,16.30023,13,9,25.3268,22,11.2214,11,8,6,12.0089,12.0464,20.99996,10.6038,76.0003,75.3964,18,18,26.0009,17,25,33.0535,"ABHD12B"
1066,931.771,1114.75,1336.24,999.945,687,1831.15,871,627,1116.63,1089.68,675.039,995,1417.08,1405.72,1458.53,2032.71,1534,1129,964.354,1790.81,1056,1370.13,2575.32,"ABHD13"
259,251.092,211.989,380.532,76.086,69,49.9299,215,274.938,193.96,183.025,361.935,213.876,324.541,366.998,370.911,262.829,116,271.845,236.233,293.125,332,211,434.747,"ABHD14A"
1667.871,1900.873,1561.23,2682.68,895.859,1244.751,469.2174,1399.023,2283.697,1681.405,2560.405,2280.474,1131.901,1947.414,1743.178,2219.434,1674.774,703.281,1650.689,1252.036,1458.224,1465.545,1329.888,2533.876,"ABHD14B"
156.309,377.212,314.072,330.712,124.886,205.549,118.905,365.071,208.806,260.901,355.842,318.004,620.307,1550.8,1400.28,1309.63,1161.19,877.613,1192.5,1260.35,1355.51,1559.56,1177.92,2175.26,"ABHD15"
1934.9316,1780.1088,1014.003987,1981.4288,1197.9559,570.1643518,479.8267,1895.0648,2020.7197,1429.16340001276,1764.0594,1710.3676,755.156580905,1296.1526,993.6178,1461.4098,1953.38560658465,1492.959,1210.67,756.7285,1060.0702,1085.5589,878.9845,1406.6571,"ABHD16A"
159.031,122,118,143,163,62,56,128,169,123,141,220,114,195,298,384.132,231,156,232,182,196.002,234,188.543,264,"ABHD16B"
3018.3151,2597.9982,2063.5013,3291.8292,2558.6211,1412.90976,1930.3888,2889.2206,1858.16,2288.8949,3042.7803,1707.7499,2828.0023,5916.0486,4999.8653,5318.1966,3302.2198,3733.837,4084.814,3948.131,3751.542,5243.443,3576.609,5378.3278,"ABHD17A"
350.5881,381.7916,621.1623,1185.1667,352.5962,207.5517,610.0898,224.865,729.7812,526.8817,492.05,491.7545,606.824,1150.684,896.7531,1159.985,1007.75,657.138,718.0157,650.555,1007.483,723.8883,750.6824,1327.2178,"ABHD17B"
42.004,35.7757,67.009,64.0019,110.006,12.0047,31.002,35.0015,42.0348,47.0352,34.0106,109.078,50.0162,150.099,78.0331,104.002,80.0045,82.0197,74.0044,66.0026,118.384,60.0087,66.0029,148.028,"ABHD17C"
3734.634,3429.9415,2888.4211,4588.301,6615.804,925.297,5599.787,2685.7571,4184.872,2097.372,4667.515,4962.447,4606.1729,8750.272,6644.0487,7753.1661,16154.521,17183.48,5636.1677,4622.3483,7581.8559,4688.0812,6206.0439,9447.949,"ABHD2"
195.625,246.917,254.923,385.792,258.031,129.43,72.1994,349.791,238.926,208.925,309.333,446.567,549.576,844.137,770.238,940.199,1892.49,1149.99,871.2,638.056,999.895,699.555,970.689,1431.26,"ABHD3"
1107.54,782.864,570.153,1373.53,891.314,303.522,681.736,706.576,885.779,940.466,736.322,818.46,418.618,885.612,609.581,966.313,1857.75,1464.19,635.108,543.318,647.133,612.493,636.448,890.101,"ABHD4"
1202.24,1001.77,871.079,707.129,1695.11,149.835,1310.02,585.018,739.688,714.893,474.89,870.505,388.086,674.107,560.293,715.163,2895.76,2677.16,524.681,390.676,705.866,301.084,635.369,765.349,"ABHD5"
15.884,37.7069,8.13739,31.771,41.5631,7.946,0,4.49317e-06,4.28798,0,55.2772,62.5352,29.2046,294.793,123.07,128.946,187.428,70.5587,104.604,111.458,35.5817,101.656,122.939,95.8723,"ABHD6"
464.384,298.09,319.288,446.624,392.784,201.653,193.698,394.537,201.052,300.673,336.267,368.784,324.12,519.307,439.449,562.217,371.457,215.485,294.807,232,352.241,306.025,305.274,412.666,"ABHD8"
1549.22629,1596.9672,1176.6337,1910.0432,1901.8252,713.7732,1192.14002505569,1295.6322,1097.3298677384,1356.86016,1971.1144,1118.3473,869.441,3186.56159,1568.37004,2433.60931,3456.8523696,2554.63181030167,1500.1866,1699.6775,2154.150231,2063.7851,2691.0989,2947.80054,"ABI1"
767.6327,989.1576,872.882800124171,1489.35033751,267.0932,379.4298,218.75,881.0091,1187.7747,1047.8961,967.6389,1146.7859,623.6519,764.7078,1234.94410008242,1086.3364,864.7044,592.139,944.538700106813,1045.2,1245.77580105025,1073.06730029294,856.153,2353.4782,"ABI2"
120,437.5458,295.215,997.6514,1283.1253,266.9996,231,757.391,224,303.3965,1311.2199,188.758,1195.4158,3057.2614,1597.7916,2377.8382,1831.0199,1535.2727,1746.6423,1281.6834,2357.9715,1855.8008,1516.3734,1996.1699,"ABI3"
11.0081,8.00787,6.0056,4.00071,1.00015,3,0,1.45997,0,6.00119,6.04188,10.0067,2.00058,5.00106,6.00273,3.00054,8.00131,0,3.00615,1,12.0132,3.00203,1.00008,12.0066,"ABI3BP"
1238.188,1492.001,1087,2108.004,658.8264,723,629.045,1032.0049,1508.585,1289.998,1807.084,1271,1139.0035,2191.425,1941.7571,2324.222,1514.5547,905.1791,1394.9998,1290.194,1599.4887,1417.999,1377.0665,2450.4382,"ABL1"
464.4023355146,630.516787598761,655.5524214849,693.42933901,641.1023,315.310381847,307.712869,540.90458769307,666.29156,511.4425352,753.1370991,642.054349,572.2366073,1246.42343,1419.93692,1306.5473,1238.5836,992.8878142033,1002.3921353,1185.98093944,2012.203108,1272.3197853,1238.54667,3110.6479,"ABL2"
13.7061912,0,56.879297,0,0,18.5922,0,115.3506,81.7524,38.240899,0,26.7523,157.89615403041,210.76003,331.1793,283.22071,97.215628,0,71.75099001,122.132213,207.088484,101.022491,85.157316,147.814095,"ABLIM1"
3,10.00071,11,14.00101,0,6,5,9.00336,3,4.999998203,7.00902,3.0073385455,13.00001,62.00000421179,40.00001,55.0000666949409,40.00324,21.01949,39.000042,28,38.037717,53.0013,31.99996,76.024350249907,"ABLIM2"
24.46879,6.80293,30.1042,27.6354,32.25,20.9001,5.26787,81.59255,19.7567,10.0159,11.2830200491195,18.73660724357,4.74026e-05,25.0313,11.6504,25.681172,0.000198489,5.28071,61.459765429,0,5.53076,4.03481e-07,29.2234,8.81742,"ABLIM3"
97,165,48,197,29,70,21,105.221,382,167,167.1,106,1,20,13,3,43.6544,23,34,10,34.0255,306,176.203,24.3146,"ABO"
2358.8843,2368.0999,1897.0551,2707.5717,2692.1586,846.5526,921.0874,2386.8682,895.522,1651.4877,2632.3021,1524.8614,2466.7405,4643.3227,3654.7373,4072.7392,6688.8705,5738.802,4167.8171,3705.62887,4043.6084,3703.4564,3941.5487,5452.15005,"ABR"
0,3.00628,2.00019,0,0,0,0,2.35382,0,0,0,0,3.00196,4.00296,4.07998,5.00065,5.1368,3.02678,0,0,3.10421,0,4.05382,6.06264,"ABRA"
1253.83,1052.76,969.056,1684.76,1023.37,457.52,482.913,1137.29,1206.03,1062.91,1889.03,1665.56,1327.45,1803.84,1265.18,1992.84,2117.6,882.229,1210.44,954.474,1601.8,1222.08,1564.11,2130.2,"ABRACL"
534,563,680,766,713.469,379.385,486.154,469.292,709,672,1090,521,731,1270.08,1007,1181.89,1259.64,842.091,919.005,833.369,1101.53,968,925.818,1546.68,"ABT1"
4002.038,2602.752,2026.14,2167.915,3165.946,853.56,3057.271,2484.17,1522.174,1736.387,2112.531,1943.786,1614.992,2143,2629.282,2624.086,19260.78,18015.91,3022.417,3175.505,2734.339,2948.563,3486.335,3050.181,"ABTB1"
257,94,60,324,103,27,118,99.0104,184,44.125,137,134,37,110,76,103,173,163.047,109,76.0071,73,71.0064,73,126,"ABTB2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC000099.1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02149,0,0,0,0,0,"AC000124.1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC002115.5"
7.53275,9.79881,9.82254,34.1441,2.56764,10.0756,11.5827,0,1.92618,9.79872,18.1114,7.99493,0,0,0,0,0,0,0,0,0,0,0,0.424035,"AC002454.1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC002463.3"
0,0,0,2,0,0,0,1,0,0,0,0,2,2,4,1.00015,0,2,5,3,2,2,4,14,"AC002480.2"
0,0,7,1,0,2,0,11,1,3,2,0,9,2,21.2913,12,6.01807,18,14,5,44,26,11,60,"AC002480.3"
0,0,0,0,2.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC003958.2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC003984.1"
4.81786,6.07763,0,0,0,0,0,0,3.03223,14.4395,0,0,0,5.02805,0,0,0,51.3093,12.6877,0,0,33.689,0,0,"AC004053.1"
290.7818,252.3443,432.459,866.472,122.568,137.1377,99.782957,123.5925,525.8253,231.48708,263.2797,260.5653,20,32.0258,26.3998,40.9026,22.3990197,31.67416,60.3665,11.9606,59,41.26344,24.857021,60.42625,"AC004381.6"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"AC004603.4"
122.988,135.018,114.084,101.057,68.9429,61.6612,95.6633,174.859,102.25,122.475,69.6203,128.376,129.54,324.587,372.994,351.309,302.552,228.232,261.705,292.601,384.15,263.419,274.811,683.085,"AC004893.11"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AC005152.3"
23.2162,46.7105,21.6534,14.8737,70.5156,5.13498,12.1487,26.0213,24.3198,27.445,10.9949,17.5243,1.0155,9.08024,9.09035,9.10482,41.6227,30.4375,0,43.47,39.5227,0,51.7404,64.5136,"AC005264.2"
